Qid,Questions
05e9f838d75cba43ab19,Do left-wing libertarians have a mental disorder?
05eb2fbccc52aff2eeec,How come the police never shoot white people?
05eb5b3709273432d3d3,Why do the far-left and the far-right of any country couldn't help themselves but to lie in addition to telling some facts?
05edc0921b893991fd3c,Why do emo people act so stupid?
05ee50e9df603b5cffb0,Is it true that arabs hate blacks?
05eeea8bbaeb3095985a,Do Tennesseans burp?
05ef08104343cede2dcf,Why is Holocaust belief considered dumb?
05ef37e63cf55b994f16,Why are majority females not interested in Politics & Political discussions when they are the ones who play it the most in real life?
05f13be4a9847a2c5f1e,Does Homosexuality cause AIDS?
05f18a3175f9322e7c41,Do you like it if your American wife farts loud in front of your family?
05f2f26211d2939d2fac,When your cat is stuck do you throw a ham on it?
05f41c1cb96376e4203a,Why does Pampuia is fiuta all'ebba?
05f5d0f560ab5c73b8a2,Isn't it a little classless for Hillary Clinton to politicize the shooting in Las Vegas less than 24 hours after it happened? Did she do it to sell more of her books?
05f6d92da36beb195298,Is having a colored TV considered racist?
05f718cea3bb1c78fb48,Do feminists think I am evil for not liking feminism?
05f726b977006861cae5,"If the United States does not intend to engage with Iran, do they have the right to say that Iran's nuclear program is peaceful in order to justify its decision? It is not."
05f756f45e9f7ad39646,Is the LGBTQ community to blame for August Ames suicide?
05f75f38f6b02a1101f2,Are there WWII deniers?
05f89bc85c0a7fecefea,Are liberals getting exposed everywhere?
05f8d944fc6e80142ef6,"Why can Israel keep its nukes, but not North Korea? Is there a double standard?"
05f931fd759df0ef2ab2,"Is there any flat earther who is not a Christian, Muslim or Jew?"
05f93aca253bb6a46cbf,Kerala and Tamil Nadu are neighbours. But why is the skin colour of both states so different?
05fa2914b83801e1471b,Is it true that there are rich men that become the sponsor of young women? Why do they do this?
05fa754bc624da66c030,"Do you support discrimination if it leads to equality, for instance hiring a lesser qualified candidate if it promotes an organization's goals of ethnic diversity?"
05faf0d58fbada09468a,"Why won't people address me as the Blockchain God, even though I insist that they do?"
05fd07109678cedff402,Is it still hard for deer people to not be able to read?
05fd70ed847bd3eebd07,Are Chinese people not interested in Japanese people?
05ffd29396a62e87f819,Is there any truth that the Young Turks were Dönmeh and that's why the ADL was denying the Armenian Genocide?
060438a8319344e82fb7,"How can I slap my mom on the butt, without her getting mad?"
0604939ea8e3a6f0f1cb,How is it to have sex with your first cousin?
060557183c10b85c782f,"If the Germanic tribes were indigenous to Europe, then why did the Roman Empire call them invaders?"
06055c2ddf9a344348d1,Why do most liberals support slavery?
06059fcc15c7da2cf437,"When India is not shown in list of countries, as an Indian, can I choose UK for old times sake?"
0606b8b9fd67696a19dc,Why did Indian people watch girls bra?
0607ed95cc2038e98631,"Why have universities, such as Harvard, banned men's issues groups? They've claimed that women’s issues are so prevalent that it would be wrong to even talk about men's issues."
0608aa20f765ab35950d,Why do Kashmiri Muslim people die fighting though they know they will be defeated?
0608da3a5fed83fe792f,Is pooping a sexual experience for gay men?
0609338dee541a017b5f,Could the numerous acts of arms being severed in the Star Wars franchise be metaphors for the scientific procedure of castration?
060a0d34bdb9e7ff2c16,Is it true that Japanese are envious of foreigners because they are able to naturally have different hair colours and eye colours?
060cd5e210e165e2b381,Why are liberals so unpatriotic and emotional?
060d2175ebea6364a486,Why do non-Muslim nations accept more refugees than Muslim nations?
060f0160d58bfc00dec8,How can we kill this cruel langague Tamil?
060fae1953459e72862e,Should India put a control on Muslim population?
0610a4d4b4f8ce6d41c0,Is there a good reason why a man how is wearing women's swimwear can't be treated as a women?
0611b39d9def3982814c,Do liberals realize most bankrupts are liberals?
0611bb0fbc0651f34417,"What happens if I accidentally touch a gay person, the spot I touched them with has become swollen since than, what should I do?"
06128349f707f33c36a8,Is Islam an apocalyptic religion like Christianity and the zealote Jews?
0612c8cb579965cca41d,What the. fuck should do when my fucking Chinese teacher is retarded as fuck?
0612d8761a6fd5e4217b,Is Pakistan the favourite country of Indian and Bangladeshi Muslims?
0614889261d260492505,Why don't Indian people care more about the environment in their country?
0614ecbe648062d80ffb,Are Asians all Chinese?
06159bf045d5fb40fbe8,Why do girls always fall for wicked boys leaving behind loyal and honest guys?
06162e7eeb33b040e60d,My 3 year old tells me I don't make enough money and I'm a loser. It listened to the parrot its mom has at her house last time my ex had our child at her place. How can I teach my 3 year old derogatory words about females without buying a parrot?
0616b5638544119135f3,Why is Quora filled with Pro-Hindutva fascists?
061702ade1cd04d37e68,How much is Quora impacted by Russian trolls?
0618137b88129c5ee2ac,"Why do 2nd Amendment advocates not argue that individuals have a right to own rocket launchers, missiles, and nukes? They are “arms,” so shouldn’t everyone have a right to bear them according to the precise text of the Amendment?"
0618e1d615c8f70383dd,Which caste has the least anti-Brahmin feelings in Tamil Nadu?
0619d73e5becd3655c6a,"Can race determine an individual's behaviour? Say if you are European or Native American, Jewish, or Australian Aboriginal?"
061a4aef5f2deefca379,Did Hong Kong and Taiwan separatists fail to attack the 2017 National Congress of the Communist Party or were they too coward to do it to end the Party?
061af3a977f8f5a2142c,Which race of men or women do you find most attractive and why?
061bd84236be420cabf5,Why some American girls are gold diggers?
061c981ad4974f865734,"I'm a 15 yr old girl, and I think I'm a pedophile. As I cannot tell anybody I know, is there any way I can get help online?"
