,Unnamed: 0,qid,Label,Questions
0,,0323c1443d56bbbcd083,3.0,"Why is the belief that liberalism is a ""mental disorder"" so widespread amongst conservatives, and is there any evidence to support the claim?"
1,,0323cb4ec9d3f3ff5a30,1.0,Is the idea of “white privilege” an Afrocentric conspiracy theory?
2,,03245574d06b2aa96598,3.0,Why do most bhakts term Indian Christians as 'rice bag converts'?
3,,0324bfed740ad6ad7f7b,1.0,"Does Wikipedia claim that Robert Mueller when to Princeton, not Harvard, so as to obscure his deep ties to Barack Obama?"
4,,0325077fb08347927f66,3.0,Why are Brazilians so negative about their own country? Brazil is certainly better off than many other nations and yet its people seem to complain more than people from poorer nations. Why?
5,,0325870c81f69c5439a9,1.0,Why are there so many presumptive questions about Trump appearing on Quora lately? Is it because they are designed more to influence opinion rather than to get a genuine answer and are actually part of a larger pro-Trump propaganda campaign?
6,,03263152ee1acecf2010,1.0,Why don't democrats rename their party the communist party and be upfront about their goals? Are they incapable of honesty?
7,,0326e4bc4d3d35b4f60b,3.0,"Why do Americans like guns so much that they need to amend their Constitution just to protect their right to guns? Wouldn't a community without mass gun usage be safer, like in the case of Japan?"
8,,032914699f6b6c113755,3.0,"Why wont the GOP ""which claim family values first"" make this truly ignorant and egregiously vulgar President resign?"
9,,032942fcf2e13d92ac12,1.0,Are Malaysians too complacent and not have the urge for a change to catch up with other countries?
10,,0329ef6b810a11cb974f,1.0,Why are the doctors in Europe so inefficient?
11,,032c902d5bceff949f40,2.0,Were you ever raped and you ended up enjoying it?
12,,032cf222dba26ea719ab,2.0,With how many officials did manushi chhillar shared her bed to win miss world 2017 ? I am not from Pakistan.
13,,032d5ebf4a906cc00988,3.0,Why cannot the North Indians behave like civilized humans?
14,,032eb330b07475a12727,3.0,Should we kick useless Vietnam out of ASEAN and the UN?
15,,032facdf67f0ea01ce71,3.0,"How far will Donald Trump go, before he is impeached? Is he beyond his limits yet? (June 2018)"
16,,032fe5da87b54ec08eee,1.0,"Why is it so that while in a relationship, a girl never accepts her mistake, even if that is going to cost the relationship?"
17,,032ffe02848e376237b7,3.0,Is eating beef illegal in the USA? Are people generally lynched for eating beef? Are cattle traders beaten to death like in India?
18,,0330359047e1b58736db,3.0,Why do Indians speak English in such a tough way to understand?
19,,0330c0b585708c12fa50,2.0,"My crush says my micropenis will ruin our sex life until I fully metabolize Hegel’s “Differenz des Fichteschen und Schellingschen Systems der Philosophie,” which she calls the Kama Sutra of the West. I distrust the Jena period. What should I do?"
20,,033223927ff79576dc5c,3.0,Is food really the 'New Rock and Roll' or is it just another way for a generation of bored fatties to kill time?
21,,0332e66a9a9701ea0027,3.0,"Why do women create players and womanizers then blame ""men"" when their handy work comes full circle?"
